RowId , Time  , TimeInterval  , FEBF:904  , FEBF:905  , FEBF:906  , FEBF:907  , FEBF:908  , FEBF:909  , FEBF:910  , Difference  , Label 
3170,1543528061.784134,0.1002049446105957,15.4375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.38815722529808877,-1.0
3171,1543528061.884556,0.10042214393615723,15.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3282390960386671,-1.0
3172,1543528061.98506,0.10050392150878906,15.875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16039340674172434,-1.0
3173,1543528062.084838,0.0997779369354248,16.125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.26917682618065464,-1.0
3174,1543528062.185043,0.1002051830291748,16.6875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5713558534268596,-1.0
3175,1543528062.285262,0.1002190113067627,16.8125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16021501308718322,-1.0
3176,1543528062.38547,0.10020780563354492,17.375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5713561537565316,-1.0
3177,1543528062.485717,0.10024714469909668,17.6875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.32818552918720184,-1.0
3178,1543528062.585954,0.10023689270019531,18.0625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3881654734302034,-1.0
3179,1543528062.686164,0.10020995140075684,18.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.21259888307697117,-1.0
3180,1543528062.78638,0.10021615028381348,18.6875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.44883128992543964,-1.0
3181,1543528062.886577,0.10019683837890625,19.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3281701643874384,-1.0
3182,1543528062.986792,0.10021519660949707,19.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.26933823710811056,-1.0
3183,1543528063.087053,0.10026097297668457,19.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.10026098342679103,-1.0
3184,1543528063.187255,0.10020184516906738,19.1875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.118095991766797,-1.0
3185,1543528063.287467,0.10021209716796875,19.125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11810467613056602,-1.0
3186,1543528063.387698,0.10023093223571777,19.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16022247074490154,-1.0
3187,1543528063.487896,0.10019803047180176,19.1875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11809274487856646,-1.0
3188,1543528063.588122,0.10022592544555664,19.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11811641253250049,-1.0
3189,1543528063.688353,0.10023117065429688,19.0625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.21260888409999004,-1.0
3190,1543528063.788555,0.10020184516906738,19.4375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.38815642547208956,-1.0
3191,1543528063.888756,0.10020112991333008,19.375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11809537008883812,-1.0
3192,1543528063.988986,0.10022997856140137,19.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.38816368896982556,-1.0
3193,1543528064.089244,0.10025787353515625,18.9375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11814352281831172,-1.0
3194,1543528064.189446,0.10020208358764648,18.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4488281527130667,-1.0
3195,1543528064.289658,0.10021209716796875,18.3125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.21259989303636584,-1.0
3196,1543528064.389856,0.10019803047180176,18.375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11809274113297588,-1.0
3197,1543528064.49055,0.10069394111633301,18.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.38828406573655183,-1.0
3198,1543528064.59054,0.0999898910522461,19.125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3881024014343802,-1.0
3199,1543528064.690536,0.09999608993530273,19.625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.509901184584597,-1.0
3200,1543528064.790755,0.1002190113067627,19.625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.10021925923315779,-1.0
