RowId , Time  , TimeInterval  , FE6E:1592  , FE6E:1593  , FE6E:1594  , FE6E:1595  , Difference  , Label 
20223,1543528164.970283,0.02052903175354004,53.875,53.5,56.25,56.625,1.0534688939614691,-1.0
20224,1543528164.990985,0.020701885223388672,54.0,53.375,56.375,56.875,0.331366259492611,-1.0
20225,1543528165.010056,0.019071102142333984,53.0,53.25,56.75,57.0,1.0827009588941818,-1.0
20226,1543528165.030097,0.02004098892211914,53.375,53.5,57.0,57.125,0.5307095080336719,-1.0
20227,1543528165.050676,0.020579099655151367,53.5,54.25,56.875,57.125,0.7708266918742356,-1.0
20228,1543528165.070664,0.019987821578979492,54.375,54.25,56.75,56.25,1.2438950368183146,-1.0
20229,1543528165.091258,0.020594120025634766,54.25,54.5,56.875,57.0,0.8103545430103027,-1.0
20230,1543528165.110687,0.01942896842956543,54.25,54.5,56.75,57.375,0.3957636193392198,-1.0
20231,1543528165.130668,0.019980907440185547,54.375,54.125,56.75,57.625,0.46813410610508255,-1.0
20232,1543528165.15068,0.02001214027404785,54.625,54.125,57.0,57.25,0.515776586065942,-1.0
20233,1543528165.170664,0.019984006881713867,54.5,54.625,57.375,56.375,1.0827161961116756,-1.0
20234,1543528165.191806,0.021142005920410156,54.125,54.75,57.25,56.375,0.4151184474052102,-1.0
20235,1543528165.21067,0.018863916397094727,54.25,54.75,57.125,57.125,0.7707859865317434,-1.0
20236,1543528165.230669,0.019999027252197266,54.5,54.875,57.375,58.125,1.06818830248589,-1.0
20237,1543528165.250672,0.020003080368041992,55.75,55.0,58.25,58.0,1.536155956679086,-1.0
20238,1543528165.270699,0.02002692222595215,55.375,55.375,58.5,57.875,0.5998133694594332,-1.0
20239,1543528165.291267,0.020567893981933594,55.125,55.5,57.5,57.875,1.038531815070339,-1.0
20240,1543528165.311839,0.020572185516357422,55.0,55.5,57.25,58.125,0.3755638625258515,-1.0
20241,1543528165.331306,0.019466876983642578,55.5,55.625,57.625,58.5,0.7397669775047064,-1.0
20242,1543528165.350838,0.019531965255737305,56.0,55.625,58.625,58.0,1.2249006089896577,-1.0
20243,1543528165.370893,0.020055055618286133,56.25,55.625,59.25,58.25,0.718350526469759,-1.0
20244,1543528165.391526,0.02063298225402832,56.125,55.625,59.25,59.0,0.760625436043189,-1.0
20245,1543528165.411238,0.019711971282958984,56.25,55.875,58.25,58.875,1.0460111902236366,-1.0
20246,1543528165.431045,0.019807100296020508,56.625,56.0,58.25,58.625,0.4681264041598869,-1.0
20247,1543528165.451069,0.02002406120300293,57.125,56.625,58.5,57.875,1.1251782125952745,-1.0
20248,1543528165.471745,0.0206758975982666,57.125,56.75,58.375,58.125,0.30688420883483103,-1.0
20249,1543528165.491745,0.019999980926513672,56.25,56.375,58.875,58.625,1.1860229576616164,-1.0
20250,1543528165.511229,0.01948404312133789,56.25,56.5,58.25,59.5,1.0827072060941374,-1.0
20251,1543528165.531279,0.020050048828125,57.0,56.5,58.375,59.0,0.9102347635750188,-1.0
20252,1543528165.551295,0.020015954971313477,56.625,56.875,59.25,58.25,1.2687693405878804,-1.0
20253,1543528165.571715,0.020420074462890625,56.375,56.75,59.125,58.75,0.5866576026556151,-1.0
20254,1543528165.591964,0.020248889923095703,56.375,57.125,58.5,59.25,0.8841154035799084,-1.0
20255,1543528165.611459,0.019495010375976562,56.25,56.75,59.0,58.875,0.7397672767593407,-1.0
20256,1543528165.631714,0.020255088806152344,56.5,56.625,59.5,59.0,0.5866522362880459,-1.0
20257,1543528165.651538,0.019823789596557617,57.625,57.0,59.5,59.125,1.1925888514710243,-1.0
20258,1543528165.671646,0.02010822296142578,57.125,57.0,59.25,59.625,0.7502695659114832,-1.0
20259,1543528165.692217,0.020570993423461914,57.25,57.625,59.0,59.625,0.6849623200782132,-1.0
20260,1543528165.711693,0.019475936889648438,57.125,57.625,59.625,59.625,0.6376758669312661,-1.0
20261,1543528165.731757,0.02006387710571289,57.5,57.625,59.75,59.5,0.41506373587463746,-1.0
20262,1543528165.751791,0.020034074783325195,57.5,57.625,59.625,59.75,0.280225561005063,-1.0
