RowId , Time  , TimeInterval  , FEF1:69  , FEF1:70  , FEF1:1633  , FEF1:3807  , FEF1:84  , FEF1:595  , FEF1:596  , FEF1:597  , FEF1:598  , FEF1:599  , FEF1:600  , FEF1:601  , FEF1:602  , FEF1:86  , FEF1:976  , FEF1:527  , FEF1:968  , FEF1:967  , FEF1:966  , FEF1:1237  , Difference  , Label 
4489,1543528225.091061,0.10001206398010254,3.0,3.0,0.0,3.0,41.0234,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.10738353303543087,-1.0
4490,1543528225.191059,0.09999799728393555,3.0,3.0,0.0,3.0,40.9453,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.1268826609851393,-1.0
4491,1543528225.292003,0.10094380378723145,3.0,3.0,0.0,3.0,40.8828,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.11872992913741993,-1.0
4492,1543528225.391051,0.09904813766479492,3.0,3.0,0.0,3.0,40.8125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.12147517081655972,-1.0
4493,1543528225.491048,0.09999704360961914,3.0,3.0,0.0,3.0,40.7031,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.14821831584914322,-1.0
4494,1543528225.591065,0.10001683235168457,3.0,3.0,0.0,3.0,40.6328,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.1222516140803823,-1.0
4495,1543528225.691045,0.09998011589050293,3.0,3.0,0.0,3.0,40.5703,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.11790790864728676,-1.0
4496,1543528225.791987,0.10094189643859863,3.0,3.0,0.0,3.0,40.5312,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.10825433699600141,-1.0
4497,1543528225.891034,0.09904694557189941,3.0,3.0,0.0,3.0,40.4141,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.15338284866930255,-1.0
4498,1543528225.99104,0.100006103515625,3.0,3.0,0.0,3.0,40.4453,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.10476440580817158,-1.0
4499,1543528226.091055,0.10001492500305176,3.0,3.0,0.0,3.0,40.2734,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.19887834296671167,-1.0
4500,1543528226.191048,0.09999299049377441,3.0,3.0,0.0,3.0,40.2109,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.1179188221998963,-1.0
4501,1543528226.291074,0.10002613067626953,3.0,3.0,0.0,3.0,40.1875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.10272676338879734,-1.0
4502,1543528226.39105,0.0999760627746582,3.0,3.0,0.0,3.0,40.1172,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.12221827046197965,-1.0
4503,1543528226.491063,0.10001301765441895,3.0,3.0,0.0,3.0,40.0312,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.1319037719930935,-1.0
4504,1543528226.591052,0.09998893737792969,3.0,3.0,0.0,3.0,39.9375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.13703093876138683,-1.0
