RowId , Time  , TimeInterval  , FCFD:5262  , FCFD:5263  , FCFD:5313  , FCFD:5314  , Difference  , Label 
3062,1543528116.231036,0.1000359058380127,-1.0,-1.0,129.2695,-1.0,5.750870204247643,-1.0
3063,1543528116.329995,0.09895896911621094,-1.0,-1.0,130.0391,-1.0,0.7759369802769045,-1.0
3064,1543528116.430996,0.10100102424621582,-1.0,-1.0,126.9297,-1.0,3.111040619613942,-1.0
3065,1543528116.529993,0.09899711608886719,-1.0,-1.0,127.457,-1.0,0.5365162948520877,-1.0
3066,1543528116.62998,0.09998703002929688,-1.0,-1.0,127.1094,-1.0,0.3616962069246634,-1.0
3067,1543528116.729999,0.10001897811889648,-1.0,-1.0,128.0586,-1.0,0.9544550471366708,-1.0
3068,1543528116.830985,0.10098600387573242,-1.0,-1.0,128.3086,-1.0,0.26962772134482726,-1.0
3069,1543528116.930986,0.10000085830688477,-1.0,-1.0,127.75,-1.0,0.5674813672482292,-1.0
3070,1543528117.030001,0.0990149974822998,-1.0,-1.0,126.8086,-1.0,0.9465933137562236,-1.0
3071,1543528117.130994,0.10099315643310547,-1.0,-1.0,126.3594,-1.0,0.4604173875508619,-1.0
3072,1543528117.230999,0.10000491142272949,-1.0,-1.0,124.1797,-1.0,2.1819931367758367,-1.0
3073,1543528117.329992,0.09899306297302246,-1.0,-1.0,121.9062,-1.0,2.2756543894787846,-1.0
3074,1543528117.430981,0.10098886489868164,-1.0,-1.0,122.4766,-1.0,0.579274454864754,-1.0
3075,1543528117.529984,0.09900307655334473,-1.0,-1.0,125.418,-1.0,2.943066345246466,-1.0
3076,1543528117.629989,0.10000491142272949,-1.0,-1.0,125.0,-1.0,0.42979761048867965,-1.0
3077,1543528117.729983,0.09999418258666992,-1.0,-1.0,124.3789,-1.0,0.6290978037366545,-1.0
3078,1543528117.829976,0.09999299049377441,-1.0,-1.0,122.0391,-1.0,2.341935660548619,-1.0
3079,1543528117.930971,0.10099482536315918,-1.0,-1.0,120.2266,-1.0,1.8153118763516203,-1.0
3080,1543528118.03017,0.09919905662536621,-1.0,-1.0,123.8086,-1.0,3.583373784245885,-1.0
3081,1543528118.130174,0.10000395774841309,-1.0,-1.0,122.0977,-1.0,1.7138203667336749,-1.0
3082,1543528118.230168,0.09999418258666992,-1.0,-1.0,116.0273,-1.0,6.071223517269547,-1.0
3083,1543528118.331166,0.1009979248046875,-1.0,-1.0,114.1797,-1.0,1.8503587080113124,-1.0
3084,1543528118.431164,0.09999799728393555,-1.0,-1.0,115.4062,-1.0,1.2305701318152689,-1.0
3085,1543528118.53016,0.09899592399597168,-1.0,-1.0,117.168,-1.0,1.7645793938269592,-1.0
3086,1543528118.630159,0.09999895095825195,-1.0,-1.0,115.2383,-1.0,1.9322895451396203,-1.0
3087,1543528118.730157,0.09999799728393555,-1.0,-1.0,113.2969,-1.0,1.9439736519463717,-1.0
3088,1543528118.830159,0.10000205039978027,-1.0,-1.0,112.75,-1.0,0.55596764303382,-1.0
3089,1543528118.931146,0.10098695755004883,-1.0,-1.0,112.6172,-1.0,0.16683877138516348,-1.0
3090,1543528119.029995,0.09884905815124512,-1.0,-1.0,114.5469,-1.0,1.9322313000547362,-1.0
3091,1543528119.13104,0.10104513168334961,-1.0,-1.0,111.8594,-1.0,2.6893997827351486,-1.0
3092,1543528119.229996,0.09895586967468262,-1.0,-1.0,108.4297,-1.0,3.4311279077234635,-1.0
3093,1543528119.329992,0.09999608993530273,-1.0,-1.0,107.0195,-1.0,1.4137412564046326,-1.0
3094,1543528119.430988,0.10099601745605469,-1.0,-1.0,106.5664,-1.0,0.46422064301043664,-1.0
